count_id,week_id,count_type,timestamp,location,stock_id,sabor,estado,peso_bruto_kg,tara_kg,peso_neto_kg,notes
COUNT-000002,WEEK-000001,CIERRE_SEMANA,2026-08-19T00:47:54.536713-03:00,SALON,SAL-000020,MASCARPONE,CERRADA,7.775,0.38,7.395,
COUNT-000002,WEEK-000001,CIERRE_SEMANA,2026-08-19T00:47:54.536713-03:00,SALON,SAL-000013,MENTA_GRANIZADO,CERRADA,8.205,0.38,7.825,
COUNT-000002,WEEK-000001,CIERRE_SEMANA,2026-08-19T00:47:54.536713-03:00,SALON,SAL-000004,QUINOTO,CERRADA,8.05,0.38,7.67,
COUNT-000002,WEEK-000001,CIERRE_SEMANA,2026-08-19T00:47:54.536713-03:00,SALON,SAL-000019,SUPER_DULCE_DE_LECHE,CERRADA,8.0,0.38,7.62,
COUNT-000002,WEEK-000001,CIERRE_SEMANA,2026-08-19T00:47:54.536713-03:00,SALON,SAL-000012,SUPER_GRIDITO,CERRADA,7.96,0.38,7.58,
COUNT-000002,WEEK-000001,CIERRE_SEMANA,2026-08-19T00:47:54.536713-03:00,SALON,SAL-000011,TIRAMISU,CERRADA,7.895,0.38,7.515,
COUNT-000002,WEEK-000001,CIERRE_SEMANA,2026-08-19T00:47:54.536713-03:00,SALON,SAL-000024,TRAMONTANA,CERRADA,8.09,0.38,7.71,
COUNT-000003,WEEK-000002,INICIO_SEMANA,2026-08-19T00:47:54.536713-03:00,SALON,SAL-000029,MARACUYA_AL_AGUA,ABIERTA,5.8,0.38,5.42,Inicio automático desde WEEK-000001/COUNT-000002.
COUNT-000003,WEEK-000002,INICIO_SEMANA,2026-08-19T00:47:54.536713-03:00,SALON,SAL-000054,MANGO_AL_AGUA,ABIERTA,7.2,0.38,6.82,Inicio automático desde WEEK-000001/COUNT-000002.
COUNT-000003,WEEK-000002,INICIO_SEMANA,2026-08-19T00:47:54.536713-03:00,SALON,SAL-000030,LIMON_AL_AGUA,ABIERTA,4.52,0.38,4.14,Inicio automático desde WEEK-000001/COUNT-000002.
COUNT-000003,WEEK-000002,INICIO_SEMANA,2026-08-19T00:47:54.536713-03:00,SALON,SAL-000055,FRUTOS_ROJOS_AL_AGUA,ABIERTA,6.85,0.38,6.47,Inicio automático desde WEEK-000001/COUNT-000002.
COUNT-000003,WEEK-000002,INICIO_SEMANA,2026-08-19T00:47:54.536713-03:00,SALON,SAL-000031,FRUTILLA_AL_AGUA,ABIERTA,7.95,0.38,7.57,Inicio automático desde WEEK-000001/COUNT-000002.
COUNT-000003,WEEK-000002,INICIO_SEMANA,2026-08-19T00:47:54.536713-03:00,SALON,SAL-000056,DURAZNO_A_LA_CREMA,ABIERTA,4.075,0.38,3.695,Inicio automático desde WEEK-000001/COUNT-000002.
COUNT-000003,WEEK-000002,INICIO_SEMANA,2026-08-19T00:47:54.536713-03:00,SALON,SAL-000032,FRUTILLA_A_LA_CREMA,ABIERTA,6.575,0.38,6.195,Inicio automático desde WEEK-000001/COUNT-000002.
COUNT-000003,WEEK-000002,INICIO_SEMANA,2026-08-19T00:47:54.536713-03:00,SALON,SAL-000057,BANANA,ABIERTA,6.27,0.38,5.89,Inicio automático desde WEEK-000001/COUNT-000002.
COUNT-000003,WEEK-000002,INICIO_SEMANA,2026-08-19T00:47:54.536713-03:00,SALON,SAL-000033,TRAMONTANA,ABIERTA,3.1,0.38,2.72,Inicio automático desde WEEK-000001/COUNT-000002.
COUNT-000003,WEEK-000002,INICIO_SEMANA,2026-08-19T00:47:54.536713-03:00,SALON,SAL-000058,GRANIZADO,ABIERTA,6.91,0.38,6.53,Inicio automático desde WEEK-000001/COUNT-000002.
COUNT-000003,WEEK-000002,INICIO_SEMANA,2026-08-19T00:47:54.536713-03:00,SALON,SAL-000034,CREMA_COOKIE,ABIERTA,6.095,0.38,5.715,Inicio automático desde WEEK-000001/COUNT-000002.
COUNT-000003,WEEK-000002,INICIO_SEMANA,2026-08-19T00:47:54.536713-03:00,SALON,SAL-000035,AMERICANA,ABIERTA,5.93,0.38,5.55,Inicio automático desde WEEK-000001/COUNT-000002.
COUNT-000003,WEEK-000002,INICIO_SEMANA,2026-08-19T00:47:54.536713-03:00,SALON,SAL-000036,DULCE_DE_LECHE_BROWNIE,ABIERTA,3.94,0.38,3.56,Inicio automático desde WEEK-000001/COUNT-000002.
COUNT-000003,WEEK-000002,INICIO_SEMANA,2026-08-19T00:47:54.536713-03:00,SALON,SAL-000059,MASCARPONE,ABIERTA,0.66,0.38,0.28,Inicio automático desde WEEK-000001/COUNT-000002.
COUNT-000003,WEEK-000002,INICIO_SEMANA,2026-08-19T00:47:54.536713-03:00,SALON,SAL-000037,SUPER_DULCE_DE_LECHE,ABIERTA,5.29,0.38,4.91,Inicio automático desde WEEK-000001/COUNT-000002.
COUNT-000003,WEEK-000002,INICIO_SEMANA,2026-08-19T00:47:54.536713-03:00,SALON,SAL-000060,DULCE_DE_LECHE_CON_NUEZ,ABIERTA,6.375,0.38,5.995,Inicio automático desde WEEK-000001/COUNT-000002.
COUNT-000003,WEEK-000002,INICIO_SEMANA,2026-08-19T00:47:54.536713-03:00,SALON,SAL-000038,DULCE_DE_LECHE_GRANIZADO,ABIERTA,7.33,0.38,6.95,Inicio automático desde WEEK-000001/COUNT-000002.
